Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx950:sramecc+:xnack-
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_TN,tn_2048_128_4096_ld_4096_4096_2048,Default,0.0177
GemmTunableOp_Half_TN,tn_2048_11006_4096_ld_4096_4096_2048,Gemm_Rocblas_476694,0.194621
GemmTunableOp_Half_TN,tn_2048_32_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477459,0.0124805
GemmTunableOp_Half_TN,tn_2048_492_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476658,0.0278005
GemmTunableOp_Half_TN,tn_2048_8_4096_ld_4096_4096_2048,Gemm_Rocblas_477465,0.01154
GemmTunableOp_Half_TN,tn_2048_5_4096_ld_4096_4096_2048,Gemm_Rocblas_477465,0.0115
GemmTunableOp_Half_TN,tn_2048_289_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476775,0.02436
GemmTunableOp_Half_TN,tn_2048_4_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477464,0.01132
GemmTunableOp_Half_TN,tn_2048_93_4096_ld_4096_4096_2048,Default,0.01698
GemmTunableOp_Half_TN,tn_2048_25_4096_ld_4096_4096_2048,Gemm_Rocblas_477460,0.01218
GemmTunableOp_Half_TN,tn_2048_2_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477464,0.0114
GemmTunableOp_Half_TN,tn_2048_8828_4096_ld_4096_4096_2048,Gemm_Rocblas_476748,0.164621
GemmTunableOp_Half_TN,tn_2048_12251_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476754,0.182741
GemmTunableOp_Half_TN,tn_2048_6_4096_ld_4096_4096_2048,Default,0.0119805
GemmTunableOp_Half_TN,tn_2048_1_4096_ld_4096_4096_2048,Gemm_Rocblas_477226,0.01198
GemmTunableOp_Half_TN,tn_2048_14915_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477480,0.224981
GemmTunableOp_Half_TN,tn_2048_969_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476626,0.0344605
GemmTunableOp_Half_TN,tn_2048_15813_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477480,0.212201
GemmTunableOp_Half_TN,tn_2048_34_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477460,0.01398
GemmTunableOp_Half_TN,tn_2048_16_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477464,0.01146
GemmTunableOp_Half_TN,tn_2048_15_4096_ld_4096_4096_2048,Gemm_Rocblas_477465,0.0115
GemmTunableOp_Half_TN,tn_2048_11938_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476735,0.199481
GemmTunableOp_Half_TN,tn_2048_64_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477462,0.01392
GemmTunableOp_Half_TN,tn_2048_17_4096_ld_4096_4096_2048,Gemm_Rocblas_477465,0.0117405
GemmTunableOp_Half_TN,tn_2048_16294_4096_ld_4096_4096_2048,Gemm_Hipblaslt_477479,0.212141
GemmTunableOp_Half_TN,tn_2048_952_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476626,0.0355405
GemmTunableOp_Half_TN,tn_2048_12853_4096_ld_4096_4096_2048,Gemm_Rocblas_476721,0.208402
GemmTunableOp_Half_TN,tn_2048_63_4096_ld_4096_4096_2048,Gemm_Rocblas_477463,0.01426
GemmTunableOp_Half_TN,tn_2048_172_4096_ld_4096_4096_2048,Gemm_Hipblaslt_476775,0.0194805
