Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx950:sramecc+:xnack-
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmStridedBatchedTunableOp_BFloat16_NN,nn_128_24576_2048_B_16_ld_128_2048_128,Gemm_Rocblas_436546,0.291802
GemmStridedBatchedTunableOp_BFloat16_NN,nn_128_24576_2048_B_8_ld_128_2048_128,Gemm_Rocblas_436703,0.139985
GemmTunableOp_BFloat16_TN,tn_4096_1172_12288_ld_12288_12288_4096,Gemm_Hipblaslt_439313,0.126089
GemmTunableOp_BFloat16_TN,tn_4096_512_12288_ld_12288_12288_4096,Gemm_Hipblaslt_439154,0.0646086
GemmTunableOp_BFloat16_TN,tn_4096_2048_12288_ld_12288_12288_4096,Gemm_Hipblaslt_439260,0.196385
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_4096_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439128,0.0450724
GemmAndBiasTunableOp_BFloat16_TN,tn_12288_512_4096_ld_4096_4096_12288,Gemm_Hipblaslt_438180,0.0655766
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_1024_4096_ld_4096_4096_1024,Gemm_Hipblaslt_438489,0.0255762
GemmAndBiasTunableOp_BFloat16_TN,tn_12288_2984_4096_ld_4096_4096_12288,Gemm_Hipblaslt_439347,0.284322
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_128_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439308,0.014248
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_2984_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439390,0.0391762
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_512_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439428,0.021424
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_8192_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439191,0.0630804
GemmAndBiasTunableOp_BFloat16_TN,tn_12288_1024_4096_ld_4096_4096_12288,Gemm_Hipblaslt_438233,0.106801
GemmAndBiasTunableOp_BFloat16_TN,tn_12288_1172_4096_ld_4096_4096_12288,Gemm_Hipblaslt_440058,0.119545
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_1172_4096_ld_4096_4096_1024,Gemm_Hipblaslt_440222,0.0292322
GemmAndBiasTunableOp_BFloat16_TN,tn_1024_2048_4096_ld_4096_4096_1024,Gemm_Hipblaslt_439457,0.0332162
